dataset,device,rank,data,count
apple_uni_group1_2h_labeled,AirPods,10,0719010e2021888f010005b48b0fe8653576f2fabc97a477dd47b8,1663
apple_uni_group1_2h_labeled,iPad,1,10051418910902,7153
apple_uni_group1_2h_labeled,iPad,2,10051d183da182,6864
apple_uni_group1_2h_labeled,iPad,3,10051b18d3892c,6849
apple_uni_group1_2h_labeled,iPad,4,10051718a08932,5500
apple_uni_group1_2h_labeled,iPad,5,1005151874aeb6,4363
apple_uni_group1_2h_labeled,iPad,6,10051318fbe8e3,4307
apple_uni_group1_2h_labeled,iPad,7,10051a188c9ca7,4234
apple_uni_group1_2h_labeled,iPad,8,100517180c03e3,3593
apple_uni_group1_2h_labeled,iPad,9,10051018ed469d,1669
apple_uni_group1_2h_labeled,iPad,10,10051b18843ae0,1432
apple_uni_group1_2h_labeled,AirTag,1,121990a9027d3c1c9b42aa147fd34ffa117f602ad1ec33e6bf03cc,800
apple_uni_group1_2h_labeled,AirTag,2,121990a9027d3c1c9b42aa147fd34ffa117f602ad1ec33e6bf03f7,795
apple_uni_group1_2h_labeled,AirTag,3,121990055c0bfb38953ae68999a8ad94a88bc6930ca246f4bb03d0,726
apple_uni_group1_2h_labeled,AirTag,4,12199049ef5506e1d2fea6b2b68d8a06aaba3aaae0692cc55b00c1,720
apple_uni_group1_2h_labeled,AirTag,5,121990b7b138d796987cf9f72c6fd7bae6cede88dd4e5c1e220273,669
apple_uni_group1_2h_labeled,AirTag,6,1219900eb75c43547d71f6542b6d7ecb0dc50f7155a6fb832403ae,645
apple_uni_group1_2h_labeled,AirTag,7,121990a3b2f568e45a8d942fe01f48b7c4295826d959c9058f022a,581
apple_uni_group1_2h_labeled,AirTag,8,12029003,496
apple_uni_group1_2h_labeled,AirTag,9,121990055c0bfb38953ae68999a8ad94a88bc6930ca246f4bb031f,294
apple_uni_group1_2h_labeled,AirTag,10,121990b7b138d796987cf9f72c6fd7bae6cede88dd4e5c1e2202d0,231
